所在地,価格
那覇市松尾1丁目245番9,275000
那覇市天久2丁目11番9,351000
那覇市安謝1丁目8番18,305000
那覇市首里大中町1丁目26番15,192000
那覇市真嘉比2丁目22番3,298000
那覇市牧志1丁目942番12,335000
那覇市寄宮1丁目240番,180000
那覇市字大道上大道原36番1,195000
那覇市壺川1丁目4番6,285000
那覇市首里石嶺町4丁目201-4,150000
那覇市泉崎2丁目14番3,350000
那覇市曙2丁目13番11,200000
那覇市若狭2丁目12番4,246000
那覇市鏡原町15番7,205000
那覇市松川2丁目113番15,152000
那覇市長田2丁目803番5,162000
那覇市田原1丁目5番9,245000
那覇市壺川2丁目11番1,267000
那覇市松山1丁目1番4,1460000
那覇市曙2丁目23番4,285000
那覇市真嘉比2丁目4番9,395000
那覇市泉崎2丁目2番1,462000
那覇市壺屋2丁目210番14,385000
那覇市泊1丁目6番6,435000
那覇市壺川3丁目4番2,421000
那覇市久茂地3丁目9番14,763000
那覇市松山1丁目14番11外,673000
那覇市牧志3丁目811番2外,469000
那覇市首里儀保町3丁目35番,282000
那覇市高良1丁目97番5,160000
那覇市前島2丁目11番15,365000
那覇市安里1丁目468番37外,385000
那覇市古波蔵4丁目403番4,242000
那覇市赤嶺1丁目4番4外,396000
那覇市天久2丁目18番13,544000
那覇市天久2丁目1番1,594000
那覇市具志1丁目14番5外,283000
那覇市首里石嶺町2丁目90番3,273000
宜野湾市宇地泊2丁目519番,162000
宜野湾市愛知2丁目290番24,137000
宜野湾市我如古1丁目357番2,133000
宜野湾市志真志4丁目589番5,135000
宜野湾市大山6丁目25番12,184000
宜野湾市嘉数2丁目284番1,131000
宜野湾市野嵩1丁目786番,156000
宜野湾市我如古4丁目503番,38800
宜野湾市普天間2丁目153番3,174000
宜野湾市普天間1丁目579番7外,157000
宜野湾市宜野湾1丁目210番4,154000
宜野湾市宇地泊2丁目79番1,232000
宜野湾市真志喜2丁目8番5,216000
宜野湾市大山7丁目1400番15,132000
石垣市字川平内原900番1,29500
石垣市字伊原間前原50番1,14400
石垣市新栄町51番23,74300
石垣市字宮良村内266番,21900
石垣市字新川真喜良2357番66,45500
石垣市字新川川花351番23,52700
石垣市字石垣長田次良若5番2,179000
石垣市字大川東ノハカ20番5,105000
石垣市字真栄里慶田山544番1,125000
浦添市勢理客1丁目238番5,158000
浦添市経塚1丁目101番17,146000
浦添市当山1丁目299番8,122000
浦添市沢岻1丁目17番2,114000
浦添市字港川港川原281番18,138000
浦添市内間2丁目640番5外,171000
浦添市安波茶1丁目541番4,146000
浦添市仲西2丁目845番,184000
浦添市字経塚西小島原893番3外,212000
浦添市当山2丁目453番1,41300
浦添市安波茶2丁目62番外,181000
浦添市内間1丁目572番14,241000
浦添市字城間東田田2693番1外,357000
浦添市西原5丁目737番8,187000
浦添市城間2丁目2305番4,228000
浦添市伊祖4丁目308番1外,202000
浦添市勢理客4丁目555番5,225000
名護市字安和渡地原85番,19800
名護市字伊差川伊差川原62番,34000
名護市字饒平名村内64番,11500
名護市字源河浜原1117番,13000
名護市港2丁目6492番18,52200
名護市字辺野古辺野古原85番外,16800
名護市字我部祖河我部祖河161番,21500
名護市宇茂佐の森1丁目11番2,62500
名護市大南1丁目535番,73000
名護市宇茂佐の森4丁目2番15,89000
名護市宮里7丁目1476番5,110000
糸満市字潮平潮平原103番,67000
糸満市西崎町3丁目279番,125000
糸満市字米須米須原216番,22500
糸満市字喜屋武喜屋武原143番,20400
糸満市字与座大川原412番56,29300
糸満市字糸満南組1261番,91000
糸満市字兼城浜川原369番1外,157000
糸満市西崎6丁目482番,176000
沖縄市池原1丁目470番外,39400
沖縄市字古謝上原1073番2,133000
沖縄市比屋根6丁目149番,68000
沖縄市南桃原3丁目33番7,142000
沖縄市宮里3丁目305番2,97000
沖縄市越来3丁目731番1,74000
沖縄市古謝1丁目31番,62000
沖縄市松本4丁目253番2,79000
沖縄市照屋4丁目306番1,74000
沖縄市泡瀬5丁目1577番8,77000
沖縄市八重島3丁目1135番,19600
沖縄市美里1丁目332番5,94000
沖縄市字美里平田原1327番3,155000
沖縄市上地2丁目1190番2,111000
沖縄市南桃原4丁目20番3,154000
沖縄市中央3丁目1620番8,92500
豊見城市字根差部東原108番16,130000
豊見城市字豊見城豊見城原126番,109000
豊見城市字高嶺前又原375番16,98300
豊見城市字我那覇漢謝原383番54,115000
